:ID,:LABEL,text
common_spaces,object,common spaces
residential_building,object,residential building
fixtures___fittings_and_fixed_equipment,object,"fixtures , fittings and fixed equipment"
intended_for_sheltered_housing_or_supported_housing_of_a_person_with_mobility_or_functional_impairment,quality,intended for sheltered housing or supported housing of a person with mobility or functional impairment
one,value,one
toilet_and_washing_facility,object,toilet and washing facility
free_space,object,free space
fire_compartment,object,fire compartment
partitioned_by_accommodation_room,quality,partitioned by accommodation room
Partitioning,quality,Partitioning
doors,object,doors
accommodation_premises,object,accommodation premises
closing_devices,object,closing devices
exit_enclosure,object,exit enclosure
open_separately_into_each_adjoining_fire_compartment_without_a_need_to_open_the_doors_at_the_same_time,quality,open separately into each adjoining fire compartment without a need to open the doors at the same time
outdoor,quality,outdoor
air_flow,property,air flow
used_in_the_calculations_for_buildings_other_than_those_in_intended_use_categories_1_and_2_outside_the_occupancy_period,quality,used in the calculations for buildings other than those in intended use categories 1 and 2 outside the occupancy period
0_15_dm3_s_per_m2,value,0.15 dm3/s per m2
fire_resistance_time_requirement,property,fire resistance time requirement
balconies,object,balconies
half,value,half
load_bearing_structures,object,load-bearing structures
storey,object,storey
toilet_seat,object,toilet seat
placed_between_200_and_300_millimetres_from_the_rear_wall,quality,placed between 200 and 300 millimetres from the rear wall
shutoff_valves,object,shutoff valves
house,object,house
apartment,object,apartment
vertical,quality,vertical
service_pipes,object,service pipes
both_sides,property,both sides
devices,object,devices
device,object,device
fixture,object,fixture
connector_pipe,object,connector pipe
water_meters,object,water meters
Large,quality,Large
roof,object,roof
surfaces,property,surfaces
divided_into_parts_of_no_more_than_2_400_square_metres,quality,"divided into parts of no more than 2,400 square metres"
crawl_space,object,crawl space
ventilated,quality,ventilated
fire_wall,object,fire wall
it,object,it
situated_adjacent_to_a_neighbouring_building,quality,situated adjacent to a neighbouring building
so_close_to_a_neighbouring_building_that_the_spread_of_fire_is_evident,quality,so close to a neighbouring building that the spread of fire is evident
height,property,height
28_metres,value,28 metres
access,quality,access
attic,object,attic
fire_compartments,object,fire compartments
from_the_outside,quality,from the outside
exits,object,exits
leading_to_them,quality,leading to them
easy_to_open_in_an_emergency,quality,easy to open in an emergency
drainage_point,object,drainage point
located_below_the_height_of_backwater,quality,located below the height of backwater
waste_water,object,waste water
pumped,quality,pumped
two,value,two
drainage_wells,object,drainage wells
floor_drain,object,floor drain
located_at_a_maximum_distance_of_three_meters_from_the_floor_drain,quality,located at a maximum distance of three meters from the floor drain
Structures,object,Structures
exposed_to_moisture,quality,exposed to moisture
resistant_to_the_effects_of_water,quality,resistant to the effects of water
residential_buildings,object,residential buildings
storeys,object,storeys
exit,object,exit
900_millimetres,value,900 millimetres
width,property,width
for_firefighting_operations,quality,for firefighting operations
cold_water_pipe,object,cold water pipe
designed_and_installed,quality,designed and installed
temperature,property,temperature
cold_water_system,object,cold water system
20_degrees_Celsius,value,20 degrees Celsius
Sewers,object,Sewers
stack_vent,object,stack vent
extends_above_the_roofing_of_a_building,quality,extends above the roofing of a building
new,quality,new
0_8_metres,value,0.8 metres
Extinguishing_routes,object,Extinguishing routes
basement_storeys,object,basement storeys
fire_and_smoke_proof,quality,fire and smoke-proof
fire_performance,property,fire performance
external,quality,external
wall_structure,object,wall structure
56_metres,value,56 metres
demonstrated_by_a_fullscale_test,quality,demonstrated by a fullscale test
Constructions,object,Constructions
behind_surfaces_exposed_to_running_water___repetitious_splash_water_or_water_condensation,quality,"behind surfaces exposed to running water , repetitious splash water or water condensation"
waterproofed,quality,waterproofed
roof_structures,object,roof structures
joints,object,joints
properly_inclined,quality,properly inclined
sealed_for_water_drainage,quality,sealed for water drainage
storey_level,quality,storey-level
door,object,door
number_of_people_evacuating,property,number of people evacuating
60,value,60
open_in_the_direction_of_the_exit,quality,open in the direction of the exit
moving_between_levels,quality,moving between levels
existing,quality,existing
850_millimetres,value,850 millimetres
open,quality,open
garage,object,garage
five,value,five
maximum,quality,maximum
area,object,area
used_as_the_surface_area_of_the_storeys,quality,used as the surface area of the storeys
driveways,object,driveways
between_the_various_storeys,quality,between the various storeys
combined,quality,combined
heat_loss,property,heat loss
buildings,object,buildings
design_solution,object,design solution
design_value,property,design value
air_leakage_rate_figure,property,air leakage rate figure
envelope,object,envelope
load_bearing_element,object,load-bearing element
required_to_have_a_longer_fire_resistance_time_with_respect_to_integrity_E_and_insulation_I_than_with_respect_to_load_bearing_capacity_R,quality,required to have a longer fire resistance time with respect to integrity E and insulation I than with respect to load-bearing capacity R
longer,quality,longer
fire_resistance_time,property,fire resistance time
applied_to_the_load_bearing_capacity,quality,applied to the load-bearing capacity
electrical,quality,electrical
energy_consumption,property,energy consumption
mechanical,quality,mechanical
ventilation_system,object,ventilation system
calculated_on_the_basis_of_air_flows___specific_fan_powers_and_operating_times_for_all_air_handling_units_and_powered_roof_ventilators_in_the_building,quality,"calculated on the basis of air flows , specific fan powers and operating times for all air handling units and powered roof ventilators in the building"
dynamic,quality,dynamic
calculation_tool,object,calculation tool
calculation_of_the_room_temperature_for_the_summer_season,quality,calculation of the room temperature for the summer season
glazed,quality,glazed
from_one_balcony_to_another_and_to_an_adjacent_fire_compartment,quality,from one balcony to another and to an adjacent fire compartment
restricted,quality,restricted
Extensive,quality,Extensive
partitioned,quality,partitioned
restrict_the_spread_of_fire,quality,restrict the spread of fire
cooling_energy_production,object,cooling energy production
auxiliary_units,object,auxiliary units
taken_into_account_where_the_use_of_the_systems_is_required_for_indoor_temperature_control,quality,taken into account where the use of the systems is required for indoor temperature control
2_0_m3____h_m2__,value,2.0 m3/ ( h m2 )
reference_value,property,reference value
Exits,object,Exits
parts,object,parts
separated_by_a_fire_wall,quality,separated by a fire wall
constructed_separately_so_that_in_the_event_of_a_fire_there_is_no_need_to_use_any_door_that_may_be_in_the_fire_wall,quality,constructed separately so that in the event of a fire there is no need to use any door that may be in the fire wall
circulation_piping,object,circulation piping
located_inside_the_building_envelopes_insulation,quality,located inside the building envelopes insulation
25,value,25
domestic_hot_water_circulation_heat_loss,property,domestic hot water circulation heat loss
building__s,object,building 's
total_combined_window_area,property,total combined window area
15,value,15
sum_total,property,sum total
floor_plate_areas,property,floor plate areas
fully_or_in_part_above_the_ground,quality,fully or in part above the ground
facade_area,property,facade area
energy_declaration,object,energy declaration
drawn_up_when_designing_a_building,quality,drawn up when designing a building
annual_efficiency_of_heat_recovery_from_ventilation_extract_air,property,annual efficiency of heat recovery from ventilation extract air
55,value,55
impact,property,impact
ground,object,ground
taken_into_account_in_heat_loss_calculations,quality,taken into account in heat loss calculations
fire_door,object,fire door
kept_open_in_normal_use,quality,kept open in normal use
devices_that_will_close_the_door_in_the_event_of_fire,object,devices that will close the door in the event of fire
net_heating_energy_demand,property,net heating energy demand
ventilation,object,ventilation
calculated_on_the_basis_of_the_heating_of_air_after_heat_recovery_to_supply_air_temperature_and_any_heating_before_heat_recovery,quality,calculated on the basis of the heating of air after heat recovery to supply air temperature and any heating before heat recovery
9_metres,value,9 metres
anchoring_structures,object,anchoring structures
safety_lines,object,safety lines
driveway,object,driveway
not_intersect_a_walkway_leading_to_a_play_area,quality,not intersect a walkway leading to a play area
30__,value,30 %
ties,object,ties
located_in_the_immediate_vicinity_of_the_grid_lines_of_the_columns_and_the_walls,quality,located in the immediate vicinity of the grid lines of the columns and the walls
column,object,column
wall,object,wall
continuous,quality,continuous
from_the_foundations_to_the_roof_level,quality,from the foundations to the roof level
Edge,quality,Edge
columns,object,columns
walls,object,walls
tied_to_every_floor_and_roof,quality,tied to every floor and roof
Entrances,object,Entrances
passageways,object,passageways
playgrounds,object,playgrounds
recreation_areas,object,recreation areas
used_in_the_wintertime,quality,used in the wintertime
street_areas,object,street areas
surrounding_the_building_and_other_public_areas,quality,surrounding the building and other public areas
protected_from_snow_and_ice_falling_from_the_roof_of_the_building_using_snow_barriers___taking_into_account_the_pitch_of_the_roof,quality,"protected from snow and ice falling from the roof of the building using snow barriers , taking into account the pitch of the roof"
Fixed,quality,Fixed
linked,quality,linked
seats,object,seats
arranged_as_rows_of_seating,quality,arranged as rows of seating
access_route,object,access route
on_the_side_of_the_rows,quality,on the side of the rows
continuing,quality,continuing
horizontal,quality,horizontal
structures,object,structures
loaded_area,object,loaded area
calculated_span_by_span,quality,calculated span by span
large,quality,large
roofs,object,roofs
smaller,quality,smaller
dimension,property,dimension
50_m,value,50 m
topography,property,topography
windswept,quality,windswept
exposure_coefficient,property,exposure coefficient
1,value,1
parking_spaces,object,parking spaces
them,object,them
intended_for_the_use_of_a_person_with_mobility_and_functional_impairment,quality,intended for the use of a person with mobility and functional impairment
internal,quality,internal
centred_on_the_supporting_line,quality,centred on the supporting line
tie_force,property,tie force
10_kN,value,10 kN
70_kN,value,70 kN
chairs,object,chairs
they,object,they
linked_to_one_another_in_at_least_four_groups,quality,linked to one another in at least four groups
placed_around_tables,quality,placed around tables
800_millimetres,value,800 millimetres
side,property,side
accessible_via_the_interior_and_exterior_of_the_building,quality,accessible via the interior and exterior of the building
accessible_via_the_interior,quality,accessible via the interior
premises,object,premises
used_by_children,quality,used by children
restrictors,object,restrictors
windows,object,windows
openings,object,openings
danger_of_falling,quality,danger of falling
these,object,these
limit_the_easy_opening_of_the_window_to_100_millimetres,quality,limit the easy opening of the window to 100 millimetres
fixed,quality,fixed
furnishings,object,furnishings
number_of_persons,property,number of persons
two_persons_per_square_metre,value,two persons per square metre
spaces,object,spaces
intended_for_more_than_60_persons,quality,intended for more than 60 persons
1_200_millimetres,value,"1,200 millimetres"
Joints,object,Joints
between_vertical_and_horizontal_structures,quality,between vertical and horizontal structures
designed_without_a_reduction_factor,quality,designed without a reduction factor
Ladders,object,Ladders
structural_elements,object,structural elements
emergency_exits,object,emergency exits
service_routes,object,service routes
designed_and_constructed,quality,designed and constructed
used_in_an_emergency_situation,quality,used in an emergency situation
Parapets,object,Parapets
categories,property,categories
A,value,A
E,value,E
panel_parts,object,panel parts
acting_as_parapets,quality,acting as parapets
fasteners,object,fasteners
designed_to_the_concentrated_load_Qk___0_3_kN_acting_on_a_random_spot,quality,designed to the concentrated load Qk = 0.3 kN acting on a random spot
Seats,object,Seats
fixed_to_a_base,quality,fixed to a base
floor,object,floor
seating_area,object,seating area
sloped,quality,sloped
level_differences,property,level differences
between_the_floors_of_the_respective_rows_of_seats,quality,between the floors of the respective rows of seats
standing_auditorium,object,standing auditorium
directly_accessible_from_the_end_of_each_row,quality,directly accessible from the end of each row
breaking,property,breaking
glass_structure,object,glass structure
light_permeable_structure,object,light-permeable structure
not_cause_a_danger_of_falling_or_a_danger_of_injury_from_fragments_falling_onto_persons_below,quality,not cause a danger of falling or a danger of injury from fragments falling onto persons below
clear_width,property,clear width
opening,object,opening
leading_to_room_spaces_of_a_non_residential_building_as_well_as_to_residential_rooms_of_a_residential_building___necessary_spaces_serving_residence_and_spaces_serving_the_use_of_the_building,quality,"leading to room spaces of a non-residential building as well as to residential rooms of a residential building , necessary spaces serving residence and spaces serving the use of the building"
depth,property,depth
standing_rows,object,standing rows
half_a_metre,value,half a metre
parking_area,object,parking area
plot,object,plot
building_site,object,building site
separated_from_pedestrian___play_and_recreation_areas,quality,"separated from pedestrian , play and recreation areas"
free,quality,free
from_the_ground,quality,from the ground
from_the_surface_of_a_driveway_or_walkway_of_the_lower_edge_of_a_structural_element___device_or_equipment_protruding_from_the_building___such_as_a_balcony___bay_window___sign___lighting_device_or_awning,quality,"from the surface of a driveway or walkway of the lower edge of a structural element , device or equipment protruding from the building , such as a balcony , bay window , sign , lighting device or awning"
2_2_metres,value,2.2 metres
protected_so_as_to_prevent_the_danger_of_collision,quality,protected so as to prevent the danger of collision
hatch,object,hatch
window,object,window
emergency_exit,object,emergency exit
600_millimetres,value,600 millimetres
500_millimetres,value,500 millimetres
sum,property,sum
inaccuracies,property,inaccuracies
crane,object,crane
wheels,object,wheels
determined_together_with_the_crane_supplier,quality,determined together with the crane supplier
load,object,load
stated_on_this_sign_in_kg_m2,quality,stated on this sign in kg/m2
600_x_600_millimetres,value,600 x 600 millimetres
slope,property,slope
surface,property,surface
8_per_cent___1_12_5__,value,8 per cent ( 1:12.5 )
access_routes,object,access routes
assembly_areas,object,assembly areas
maximum_capacity,property,maximum capacity
60_persons,value,60 persons
Their,object,Their
glazing,object,glazing
safety_glass,object,safety glass
warning_sign,object,warning sign
not_posted,quality,not posted
designed_to_an_axle_load_Qk,quality,designed to an axle load Qk
axle_group_load,property,axle group load
190_kN,value,190 kN
Windows,object,Windows
glass,quality,glass
danger_of_collision,quality,danger of collision
marked_in_such_a_way_that_they_can_be_easily_noticed,quality,marked in such a way that they can be easily noticed
its,object,its
mountings,object,mountings
withstand_the_load_to_which_it_is_normally_subject,quality,withstand the load to which it is normally subject
structure,object,structure
protected_by_a_fixed_collision_barrier,quality,protected by a fixed collision barrier
handrail,object,handrail
ending,property,ending
shaped_safely,quality,shaped safely
continue_past_the_start_and_end_points_of_the_structure,quality,continue past the start and end points of the structure
considering_the_intended_use_and_functional_units_of_the_building_and_distances_in_the_building,quality,considering the intended use and functional units of the building and distances in the building
adequate_number,value,adequate number
appropriately_located,quality,appropriately located
toilet_facilities,object,toilet facilities
suitable_for_users_of_wheelchairs_and_walking_frames_with_wheels,quality,suitable for users of wheelchairs and walking frames with wheels
pitch,property,pitch
1_8,value,1:8
constructed_making_appropriate_use_of_walkways___roof_ladders___safety_ladders___roof_stairs___roof_treads_and_foot_rails,quality,"constructed making appropriate use of walkways , roof ladders , safety ladders , roof stairs , roof treads and foot rails"
safe,quality,safe
marked,quality,marked
reserved_for_pedestrians_in_connection_with_vehicle_traffic_and_goods_transport_routes___doors_and_gates_in_the_yards_of_buildings_other_than_single_family_houses,quality,"reserved for pedestrians in connection with vehicle traffic and goods transport routes , doors and gates in the yards of buildings other than single-family houses"
pedestrian_traffic,object,pedestrian traffic
through_them,quality,through them
necessary,quality,necessary
sewer,object,sewer
installed_in_the_ground,quality,installed in the ground
withstand_the_load_imposed_by_soil___soil_corrosion_as_well_as_subsidence_of_soil,quality,"withstand the load imposed by soil , soil corrosion as well as subsidence of soil"
cold_premises,object,cold premises
thermally_insulated,quality,thermally insulated
unit,object,unit
living_accommodation,object,living accommodation
space_for_commercial_purposes,object,space for commercial purposes
treated_as_a_dwelling,quality,treated as a dwelling
commercial_part,object,commercial part
reverted_to_domestic_use,quality,reverted to domestic use
Account,object,Account
taken_of_outside_noise,quality,taken of outside noise
openable,quality,openable
appropriate_for_purge_ventilation,quality,appropriate for purge ventilation
potentially_flammable,quality,potentially flammable
explosive,quality,explosive
atmosphere,property,atmosphere
institutions,object,institutions
assembly,quality,assembly
business,quality,business
abrupt,quality,abrupt
0_7_metres,value,0.7 metres
precipices,object,precipices
vicinity,property,vicinity
common_play,quality,common play
recreation,quality,recreation
indicated_by_appropriate_barriers_or_suitable_planted_areas,quality,indicated by appropriate barriers or suitable planted areas
outfitted_with_a_base_that_cushions_any_fall,quality,outfitted with a base that cushions any fall
used_as_emergency_exits,quality,used as emergency exits
easily_releasable_by_an_adult,quality,easily releasable by an adult
Barriers,object,Barriers
loading_docks,object,loading docks
not_impede_loading_and_unloading,quality,not impede loading and unloading
Combustion_appliances,object,Combustion appliances
operate_safely,quality,operate safely
Doors,object,Doors
gates,object,gates
boom_barriers,object,boom barriers
not_cause_a_danger_of_an_accident,quality,not cause a danger of an accident
emergency_repairs,object,emergency repairs
not_possible_to_notify_the_building_control_body_in_advance,quality,not possible to notify the building control body in advance
building_control_body,object,building control body
notified_as_soon_as_possible,quality,notified as soon as possible
ventilation_systems,object,ventilation systems
fan_units,object,fan units
appropriately_sized,quality,appropriately sized
fans,object,fans
operating_in_normal_background_ventilation_mode,quality,operating in normal background ventilation mode
not_overly_noisy,quality,not overly noisy
restrict_the_spread_of_fire_and_smoke,quality,restrict the spread of fire and smoke
provide_safe_evacuation,quality,provide safe evacuation
facilitate_rescue_and_extinguishing_measures,quality,facilitate rescue and extinguishing measures
heating_system,object,heating system
heat,property,heat
conveyed_via_heat_pipes_external_to_the_building_from_a_shared_heat_exchanger_or_heat_generation_unit_to_several_buildings,quality,conveyed via heat pipes external to the building from a shared heat exchanger or heat generation unit to several buildings
pipes,object,pipes
divided_between_the_buildings_in_proportion_to_their_areas,quality,divided between the buildings in proportion to their areas
natural,quality,natural
ventilation_valves,object,ventilation valves
easy_to_close,quality,easy to close
Mechanical,quality,Mechanical
intermittent,quality,intermittent
mechanical_ventilation,property,mechanical ventilation
designed_and_installed_to_minimise_noise,quality,designed and installed to minimise noise
Routes,object,Routes
intended_for_vehicle_traffic,quality,intended for vehicle traffic
located_in_a_way_that_does_not_restrict_pedestrian_routes_or_the_space_required_for_opening_doors_and_gates,quality,located in a way that does not restrict pedestrian routes or the space required for opening doors and gates
Staircases,object,Staircases
sufficiently_spacious,quality,sufficiently spacious
suitable_for_their_purpose,quality,suitable for their purpose
Standing_areas,object,Standing areas
terraced,quality,terraced
safe_to_move_in_the_rows,quality,safe to move in the rows
air_flows,object,air flows
designed,quality,designed
average_carbon_monoxide_concentration,property,average carbon monoxide concentration
parking_garage,object,parking garage
for_motor_vehicles,quality,for motor vehicles
during_the_hour_of_use_assessed_as_the_most_critical,quality,during the hour of use assessed as the most critical
35_mg_m3___30_ppm__,value,35 mg/m3 ( 30 ppm )
barrier,object,barrier
not_feature_horizontal_structures_or_patterns_that_make_it_possible_to_climb,quality,not feature horizontal structures or patterns that make it possible to climb
lighting,object,lighting
not_cause_glare_that_endangers_safety,quality,not cause glare that endangers safety
loading_area,object,loading area
appropriate,quality,appropriate
materials,object,materials
fittings,object,fittings
compatible,quality,compatible
pumping_station,object,pumping station
located_in_a_place_where_it_can_be_easily_inspected_and_serviced,quality,located in a place where it can be easily inspected and serviced
water_tight,quality,water tight
resistant_to_earth_pressure,quality,resistant to earth pressure
not_cause_odour_problem,quality,not cause odour problem
separator_devices,object,separator devices
located_so_that_they_can_be_serviced_and_emptied_easily_and_without_causing_problems,quality,located so that they can be serviced and emptied easily and without causing problems
supports,property,supports
fastening_points,property,fastening points
water_pipes,object,water pipes
neither_heat_expansion_nor_forces_generated_by_water_flow_cause_the_pipes_to_shift___loosen___break_or_make_disturbing_noises,quality,"neither heat expansion nor forces generated by water flow cause the pipes to shift , loosen , break or make disturbing noises"
vehicle_traffic_area,object,vehicle traffic area
courtyard,object,courtyard
easily_accessible,quality,easily accessible
uninterrupted,quality,uninterrupted
chimneys,object,chimneys
ventilation_equipment,object,ventilation equipment
equipment,object,equipment
located_on_the_roof_of_the_building,quality,located on the roof of the building
accessed_regularly,quality,accessed regularly
adequate_means,value,adequate means
provided_for_people_in_the_building,quality,provided for people in the building
Water_pipes,object,Water pipes
located_in_cold_premises,quality,located in cold premises
environment,object,environment
lit,quality,lit
enables_safe_use_and_servicing,quality,enables safe use and servicing
size,property,size
number_of_storeys,property,number of storeys
intended_purpose,property,intended purpose
requires,quality,requires
divided_into_fire_compartments,quality,divided into fire compartments
certain_proportion,value,certain proportion
changing_rooms,object,changing rooms
washing_facilities,object,washing facilities
saunas,object,saunas
swimming_pools,object,swimming pools
suitable_for_a_person_with_mobility_and_functional_impairment,quality,suitable for a person with mobility and functional impairment
evacuation_areas,object,evacuation areas
possible_to_transport_an_immobile_individual_on_a_stretcher_via_the_exit_route,quality,possible to transport an immobile individual on a stretcher via the exit route
During_the_design_period_of_occupancy,quality,During the design period of occupancy
room_temperature,property,room temperature
comfortable,quality,comfortable
not_adversely_affected_by_air_velocity___thermal_radiation___temperature_fluctuation___temperature_differences_or_surface_temperatures,quality,"not adversely affected by air velocity , thermal radiation , temperature fluctuation , temperature differences or surface temperatures"
External,quality,External
layers,object,layers
form_a_whole_that_prevents_water_from_harmfully_penetrating_into_the_structures,quality,form a whole that prevents water from harmfully penetrating into the structures
Extract_air,object,Extract air
toilets,object,toilets
washrooms,object,washrooms
cleaning_spaces,object,cleaning spaces
conducted_to_vertical_ducts,quality,conducted to vertical ducts
extract_air_categories,property,extract air categories
2,value,2
total_extract_air_flow,property,total extract air flow
10,value,10
total_air_flow,property,total air flow
duct,object,duct
extract_air,object,extract air
category,property,category
3,value,3
conducted_through_individual_ducts___or_common_ducts_serving_spaces_of_the_same_type_as_regards_level_of_air_purity___to_the_outdoors___into_a_collection_duct_installed_above_the_spaces_it_serves_or_into_an_extract_air_chamber,quality,"conducted through individual ducts , or common ducts serving spaces of the same type as regards level of air purity , to the outdoors , into a collection duct installed above the spaces it serves or into an extract air chamber"
4,value,4
conducted_to_the_outdoors_through_individual_extract_air_ducts,quality,conducted to the outdoors through individual extract air ducts
Fire,object,Fire
not_spread_in_a_roof_or_in_its_underlay,quality,not spread in a roof or in its underlay
causes_a_hazard,quality,causes a hazard
elevation_difference,property,elevation difference
1_000_millimetres,value,"1,000 millimetres"
ramp,object,ramp
gradient,property,gradient
eight_per_cent,value,eight per cent
snow_load,object,snow load
occur,quality,occur
minimum_value,property,minimum value
0_5_kN_m2,value,0.5 kN/m2
combined_into_the_same_duct,quality,combined into the same duct
free_gap,property,free gap
between_facing_walls_of_adjacent_glazed_balconies,quality,between facing walls of adjacent glazed balconies
distance,property,distance
wall_to_the_window_of_an_adjacent_fire_compartment,quality,wall to the window of an adjacent fire compartment
2_metres,value,2 metres
class,property,class
EI_15,value,EI 15
indoor,quality,indoor
leading_to_an_evacuation_area_in_a_non_residential_building,quality,leading to an evacuation area in a non-residential building
stairs,object,stairs
wide_enough_that_they_can_be_used_to_transport_an_immobile_individual_on_a_stretcher,quality,wide enough that they can be used to transport an immobile individual on a stretcher
entrance,object,entrance
protected_against_snow_loads_with_a_covering,quality,protected against snow loads with a covering
outside_space,object,outside space
individual,quality,individual
level_difference,property,level difference
outside_the_door,quality,outside the door
20_millimetres,value,20 millimetres
eliminated_with_equipment_in_the_outdoor_space,quality,eliminated with equipment in the outdoor space
Moisture,property,Moisture
from_the_foundation_wall_and_the_base_floors_concrete_slab,quality,from the foundation wall and the base floors concrete slab
not_transfer_harmfully_to_the_wooden_sole_plates_or_upper_wall_and_floor_structures,quality,not transfer harmfully to the wooden sole plates or upper wall and floor structures
Snow,object,Snow
rain_water,object,rain-water
not_be_allowed_to_ingress_the_ventilation_system_via_externally_mounted_air_transfer_devices_in_quantities_causing_damage_to_the_system___lowering_air_quality_or_impairing_the_functioning_of_the_system,quality,"not be allowed to ingress the ventilation system via externally mounted air transfer devices in quantities causing damage to the system , lowering air quality or impairing the functioning of the system"
achieve_the_contrasts_in_brightness_needed_for_observation,quality,achieve the contrasts in brightness needed for observation
fire_compartmenting_requirement,property,fire compartmenting requirement
balcony_slab,object,balcony slab
balcony,object,balcony
EI_30,value,EI 30
minor,quality,minor
sealing_parts,object,sealing parts
penetrations,object,penetrations
E_15,value,E 15
foundation,object,foundation
drainage_water,object,drainage water
flow_away_from_the_property_in_such_a_way_that_it_does_not_cause_problems_to_the_waste_water_and_storm_water_systems,quality,flow away from the property in such a way that it does not cause problems to the waste water and storm water systems
landings,object,landings
strong,quality,strong
air_tightness,property,air-tightness
B,value,B
dwelling_unit,object,dwelling unit
18_dm3_s,value,18 dm3/s
limited,quality,limited
fire_igniting,property,fire igniting
compartment,object,compartment
not_cause_unreasonably_vast_damages___compartmentation_by_area__,quality,not cause unreasonably vast damages ( compartmentation by area )
recirculation,quality,recirculation
transfer,quality,transfer
secondary,quality,secondary
air,object,air
not_cause_any_harmful_spread_of_impurities___in_particular_odours,quality,"not cause any harmful spread of impurities , in particular odours"
produce_an_adequate_outdoor_air_flow_to_the_building,quality,produce an adequate outdoor air flow to the building
extract_from_indoor_air_substances_that_are_harmful_to_health___excessive_humidity___odours_with_adverse_effects_on_comfort_and_indoor_air_impurities_arising_from_humans___construction_products_and_activities,quality,"extract from indoor air substances that are harmful to health , excessive humidity , odours with adverse effects on comfort and indoor air impurities arising from humans , construction products and activities"
water_vapour_resistance,property,water vapour resistance
prevent_the_accumulation_of_moisture_content_of_wall_structures_from_internal_water_vapour_diffusion_or_convection_that_is_harmful_from_the_viewpoint_of_moisture_performance_of_structures,quality,prevent the accumulation of moisture content of wall structures from internal water vapour diffusion or convection that is harmful from the viewpoint of moisture performance of structures
Ventilation,object,Ventilation
provide_healthy___safe_and_comfortable_indoor_air_quality_in_occupiable_spaces,quality,"provide healthy , safe and comfortable indoor air quality in occupiable spaces"
Water,object,Water
drain_off_the_roof_without_causing_damage_to_the_building,quality,drain off the roof without causing damage to the building
handrails,object,handrails
one_above_the_other,quality,one above the other
installed,quality,installed
take_into_account_children_and_users_of_wheelchairs,quality,take into account children and users of wheelchairs
permanently_installed,quality,permanently installed
dry_riser,object,dry riser
suitable_for_its_purpose_for_transporting_water_for_fire_extinguishing,quality,suitable for its purpose for transporting water for fire extinguishing
above_the_entry_level_of_the_building,quality,above the entry level of the building
distance_of_the_uppermost_floor_level_from_the_entry_level,property,distance of the uppermost floor level from the entry level
24_metres,value,24 metres
below_the_entry_level_of_the_building,quality,below the entry level of the building
distance_of_the_basement_storey_floor_from_the_entry_level,property,distance of the basement storey floor from the entry level
14_metres,value,14 metres
extract_ventilation_system,object,extract ventilation system
